-BEGIN HEADER-,,,,,,,,,,
2019,5,2,17,32.84,16.36,0.05,85.98,165.3,99.25,8.74
2019,5,2,18,31.13,16.97,0.01,13.73,13.05,99.3,8.18
2019,5,2,19,29.97,17.7,0.01,0,0,99.39,7.12
2019,5,2,20,29.19,18.37,0.01,0,0,99.45,5.97
2019,5,2,21,28.47,18.98,0.02,0,0,99.47,5.38
2019,5,2,22,27.82,19.53,0.07,0,0,99.45,5.12
2019,5,2,23,27.25,19.96,0.1,0,0,99.41,5.3
2019,5,3,0,26.83,20.2,0.22,0,0,99.35,5.68
2019,5,3,1,26.49,20.39,0.46,0,0,99.28,5.6
2019,5,3,2,26.26,20.32,0.75,0,0,99.22,5.41
2019,5,3,3,26.11,20.26,0.77,0,0,99.19,5.1
2019,5,3,4,25.94,20.08,0.9,0,0,99.17,4.94
2019,5,3,5,25.8,19.9,0.94,5.74,3.7,99.2,5.1
2019,5,3,6,25.99,19.71,0.84,25.46,107.38,99.28,5.5
2019,5,3,7,26.51,19.23,0.69,36.16,320.62,99.35,7.08
2019,5,3,8,27.52,18.92,0.89,36.92,536.23,99.39,8.73
2019,5,3,9,28.88,18.31,0.96,50.4,722.83,99.37,10.27
2019,5,3,10,29.94,18.07,1.17,67.88,864.85,99.31,11.2
2019,5,3,11,30.6,18.19,1.47,87.59,942.67,99.22,11.71
2019,5,3,12,31.18,18.49,1.71,320.15,952.58,99.1,11.75
2019,5,3,13,31.4,18.74,2.49,180.73,893.75,98.99,11.76
2019,5,3,14,31.28,18.98,3.31,103.57,769.62,98.9,11.79
2019,5,3,15,30.3,19.17,4,68.13,584.2,98.86,11.53
2019,5,3,16,29.13,19.47,4.08,40.05,352.75,98.84,10.34
2019,5,3,17,28.02,19.9,5.02,29.02,141.38,98.82,8.92
2019,5,3,18,26.94,20.02,6.43,9.49,11.55,98.81,8.58
2019,5,3,19,26.27,20.02,6.05,0,0,98.81,8.96
2019,5,3,20,25.97,20.02,3.93,0,0,98.79,9.96
2019,5,3,21,25.82,19.9,2.96,0,0,98.75,10.69
2019,5,3,22,25.65,19.78,3.09,0,0,98.67,11.79
2019,5,3,23,25.43,19.47,3.5,0,0,98.57,12.99
2019,5,4,0,25.08,18.92,3.21,0,0,98.51,14.68
2019,5,4,1,24.61,18.07,2.21,0,0,98.49,15.85
2019,5,4,2,24.03,17.21,1.48,0,0,98.48,16.29
2019,5,4,3,23.82,16.85,1.11,0,0,98.52,16.16
2019,5,4,4,23.84,16.78,0.73,0,0,98.6,15.4
2019,5,4,5,23.89,16.78,0.43,5.54,3.6,98.73,15
2019,5,4,6,24.4,16.85,0.29,34.32,97.33,98.91,14.43
2019,5,4,7,26.02,17.27,0.19,149.89,294.35,99.07,13.39
2019,5,4,8,28.28,17.94,0.1,299.08,507.2,99.22,13.26
2019,5,4,9,30.17,18.25,0.2,405.62,691.1,99.34,13.16
2019,5,4,10,31.76,18.01,0.08,608.42,832.85,99.41,12.44
2019,5,4,11,33.11,17.58,0.03,602.59,908.02,99.42,11.22
2019,5,4,12,34.11,17.27,0.01,717.44,899.12,99.42,10.12
2019,5,4,13,34.8,16.97,0.03,682.02,846.83,99.37,9.28
2019,5,4,14,35.12,16.66,0.03,546.56,714.25,99.32,8.46
2019,5,4,15,35.01,16.36,0.03,405.97,539.4,99.28,7.37
2019,5,4,16,34.39,16.3,0.02,256.49,325.55,99.26,6.03
2019,5,4,17,33.18,17.27,0.01,103.61,120.83,99.28,4.55
2019,5,4,18,31.32,19.47,0,14.11,10.38,99.34,2.67
2019,5,4,19,31.65,17.4,0,0,0,99.43,0.78
2019,5,4,20,30.98,17.15,0,0,0,99.51,0.9
2019,5,4,21,29.3,18.25,0,0,0,99.56,2.2
2019,5,4,22,27.78,18.55,0,0,0,99.57,3.34
2019,5,4,23,26.75,18.31,0,0,0,99.54,4.05
2019,5,5,0,26.03,18.13,0,0,0,99.5,4.18
2019,5,5,1,25.48,18.01,0,0,0,99.47,4.04
2019,5,5,2,25.06,17.82,0,0,0,99.45,3.78
2019,5,5,3,24.74,17.58,0.01,0,0,99.46,3.53
2019,5,5,4,24.48,17.4,0.01,0,0,99.5,3.42
2019,5,5,5,24.23,17.15,0,5.14,3.52,99.55,3.44
2019,5,5,6,25.38,16.91,0,85.59,87.17,99.63,3.32
2019,5,5,7,27.03,16.97,0.01,252.56,274.08,99.71,2.56
2019,5,5,8,30.69,16.48,0.04,434.41,483.08,99.77,2.18
2019,5,5,9,33.35,15.75,0.01,659.09,675.5,99.78,1.95
2019,5,5,10,35.11,15.56,0.02,809.21,821.02,99.75,2.09
2019,5,5,11,36.6,15.2,0.02,866.48,902.42,99.67,2.53
2019,5,5,12,37.69,14.47,0.02,847.7,884.7,99.58,2.98
2019,5,5,13,38.32,13.61,0.01,810.61,824.88,99.48,3.36
2019,5,5,14,38.46,13.06,0.01,700.01,698.77,99.39,3.54
2019,5,5,15,38.12,12.76,0.02,520.9,521.4,99.31,3.15
2019,5,5,16,37.32,13.31,0.01,303.02,313.9,99.27,2.31
2019,5,5,17,36.37,13.55,0.01,126.03,123.77,99.27,2.18
2019,5,5,18,32.58,18.01,0,14.67,10.67,99.29,4.23
2019,5,5,19,30.65,17.09,0,0,0,99.35,7.06
2019,5,5,20,29.79,17.03,0.01,0,0,99.43,8.52
2019,5,5,21,28.8,17.94,0.01,0,0,99.5,8.62
2019,5,5,22,28.06,18.55,0.01,0,0,99.5,8.25
2019,5,5,23,27.47,18.55,0.01,0,0,99.47,7.8
2019,5,6,0,26.96,18.43,0.03,0,0,99.41,7.35
2019,5,6,1,26.47,18.37,0.03,0,0,99.36,7.09
2019,5,6,2,26.05,18.37,0.06,0,0,99.34,7
2019,5,6,3,25.72,18.31,0.05,0,0,99.33,6.82
2019,5,6,4,25.37,18.31,0.03,0,0,99.36,6.62
2019,5,6,5,25.03,18.19,0.01,6.66,3.85,99.41,6.58
2019,5,6,6,25.55,18.07,0,92.68,91.7,99.47,6.28
2019,5,6,7,27.4,18.01,0.01,267.4,278.67,99.53,5.46
2019,5,6,8,31.13,16.54,0.01,466.7,495.62,99.55,5.47
2019,5,6,9,34.83,14.1,0.01,665.91,691.9,99.56,5.41
2019,5,6,10,37.69,11.47,0,820.82,840.95,99.53,5.06
2019,5,6,11,38.99,10.86,0,886.53,920.9,99.47,4.46
2019,5,6,12,39.76,10.38,0,836.05,870.12,99.4,3.86
2019,5,6,13,40.09,9.89,0,794.75,806.9,99.32,3.26
2019,5,6,14,39.99,9.4,0,680.88,679.73,99.24,2.7
2019,5,6,15,39.55,8.97,0,509.34,506.12,99.18,2.35
2019,5,6,16,38.8,9.22,0,337.14,330.65,99.14,2.24
2019,5,6,17,37.66,9.46,0,131.58,126.92,99.11,1.89
2019,5,6,18,33.97,14.71,0,15.52,11.48,99.1,2.44
2019,5,6,19,30.06,13.67,0,0,0,99.12,5.2
2019,5,6,20,28.36,12.76,0,0,0,99.16,7.25
2019,5,6,21,27.32,13.12,0,0,0,99.2,7.82
2019,5,6,22,26.33,13.98,0,0,0,99.21,7.63
2019,5,6,23,25.46,14.47,0,0,0,99.19,7.45
2019,5,7,0,24.65,14.4,0,0,0,99.15,7.32
2019,5,7,1,23.86,14.1,0.07,0,0,99.12,7.2
2019,5,7,2,23.08,13.79,0.06,0,0,99.1,7.1
2019,5,7,3,22.48,13.61,0.05,0,0,99.11,7.27
2019,5,7,4,22.03,13.67,0,0,0,99.15,7.53
2019,5,7,5,21.72,13.85,0,6.64,4.45,99.2,7.69
2019,5,7,6,23.12,14.34,0,107.04,106,99.28,7.17
2019,5,7,7,25.7,14.95,0,310.6,311.75,99.35,5.68
2019,5,7,8,29.93,15.44,0,536.45,530.75,99.39,4.91
2019,5,7,9,34.94,12.88,0.01,733.2,735,99.39,4.76
2019,5,7,10,38.56,9.77,0,876.04,883.73,99.38,4.59
2019,5,7,11,40.63,8.06,0,758.48,859.67,99.33,4.2
2019,5,7,12,41.56,7.45,0,762.95,866.03,99.26,3.76
2019,5,7,13,41.91,7.14,0,735.08,815.11,99.18,3.4
2019,5,7,14,41.76,7.02,0,650.83,710.41,99.11,3.07
2019,5,7,15,41.28,7.02,0,513.48,559.07,99.05,2.66
2019,5,7,16,40.5,7.57,0,343.52,371.41,99.01,2.41
2019,5,7,17,38.68,10.13,0,145.75,160.23,98.99,2.01
2019,5,7,18,33.65,15.14,0,16.84,12.95,99,3.76
2019,5,7,19,30.25,12.63,0,0,0,99.03,6.68
2019,5,7,20,28.94,12.02,0,0,0,99.09,8.61
2019,5,7,21,27.83,12.51,0,0,0,99.14,8.94
2019,5,7,22,26.76,13.18,0,0,0,99.17,8.58
2019,5,7,23,25.93,13.61,0,0,0,99.15,8.31
2019,5,8,0,25.25,14.04,0,0,0,99.12,8.07
2019,5,8,1,24.49,14.71,2.57,0,0,99.09,7.79
2019,5,8,2,23.72,15.38,2.57,0,0,99.07,7.53
2019,5,8,3,23.27,15.75,2.58,0,0,99.06,7.41
2019,5,8,4,22.94,15.99,0.01,0,0,99.07,7.2
2019,5,8,5,22.66,16.24,0.01,7.39,4.9,99.11,6.84
2019,5,8,6,23.76,16.72,3.69,109.05,111.95,99.17,6.19
2019,5,8,7,25.75,17.4,0.02,312.24,323.65,99.23,5.19
2019,5,8,8,29.28,18.19,0.04,514.69,546.88,99.27,4.28
2019,5,8,9,33.84,16.72,0,697.8,742.7,99.29,3.98
2019,5,8,10,37.25,14.53,0,870.14,889.5,99.28,3.44
2019,5,8,11,39.63,12.08,0,930.66,969.35,99.24,3.36
2019,5,8,12,41.17,10.19,0,880.07,947.65,99.18,3.21
2019,5,8,13,41.65,9.46,0,864.84,880.6,99.11,2.44
2019,5,8,14,41.58,9.16,0,736.52,746.35,99.03,1.44
2019,5,8,15,41.12,9.22,0,558.5,558.55,98.97,0.83
2019,5,8,16,40.29,9.95,0,346.07,340.67,98.92,1.49
2019,5,8,17,38.24,12.02,0,139.49,135.65,98.9,2.52
2019,5,8,18,32.89,16.72,0,16.34,12.2,98.9,5.11
2019,5,8,19,30.54,14.1,0,0,0,98.94,7.67
2019,5,8,20,29.64,14.04,0,0,0,98.99,8.87
2019,5,8,21,28.65,14.59,0,0,0,99.05,8.8
2019,5,8,22,27.65,14.89,0,0,0,99.06,8.44
2019,5,8,23,26.78,15.01,0,0,0,99.05,8.31
2019,5,9,0,26.14,15.14,0,0,0,99.02,8.37
2019,5,9,1,25.55,15.44,0,0,0,98.99,8.21
2019,5,9,2,24.99,15.81,0,0,0,98.97,7.92
2019,5,9,3,24.56,15.93,0,0,0,98.97,7.85
2019,5,9,4,24.23,15.93,0,0,0,98.98,7.86
2019,5,9,5,23.85,15.75,0,7.27,4.75,99.02,7.76
2019,5,9,6,25.12,15.5,0,102.35,100.6,99.07,7.06
2019,5,9,7,27.59,15.14,0,294.45,301.58,99.12,5.5
2019,5,9,8,31.2,14.83,0,496.19,521.52,99.14,4.45
2019,5,9,9,35.58,12.88,0,667.84,716.55,99.15,3.81
2019,5,9,10,39.88,9.77,0,851.73,862.45,99.14,3.84
2019,5,9,11,42.08,8.54,0,904.52,939.8,99.09,3.37
2019,5,9,12,42.87,8.3,0,891.24,926.48,99,2.64
2019,5,9,13,43.16,8.24,0,845.3,858.27,98.93,2.19
2019,5,9,14,43.05,8.3,0,725.3,725.5,98.86,1.79
2019,5,9,15,42.58,8.48,0,543.41,541.15,98.8,1.65
2019,5,9,16,41.87,9.03,0,334.47,329.02,98.76,1.62
2019,5,9,17,40.6,10.31,0,136.29,132.75,98.76,0.94
2019,5,9,18,36.43,15.87,0,16.36,12.45,98.79,2.52
2019,5,9,19,32.72,15.26,0,0,0,98.84,4.72
2019,5,9,20,30.83,15.2,0,0,0,98.91,5.75
2019,5,9,21,29.57,15.62,0,0,0,98.97,5.99
2019,5,9,22,28.54,15.69,0,0,0,99,6.1
2019,5,9,23,27.66,15.01,0,0,0,99,6.5
2019,5,10,0,26.9,13.98,0,0,0,98.98,6.91
2019,5,10,1,26.11,13.06,0,0,0,98.94,7.15
2019,5,10,2,25.29,12.57,0,0,0,98.93,7.26
2019,5,10,3,24.52,12.21,0,0,0,98.95,7.22
2019,5,10,4,23.87,12.08,0,0,0,99,6.92
2019,5,10,5,23.33,12.08,0,7.05,4.95,99.07,6.4
2019,5,10,6,25.14,12.76,0,103.46,98.58,99.16,5.61
2019,5,10,7,28.18,11.6,0,275.45,293.12,99.23,3.99
2019,5,10,8,31.39,12.08,0,467.66,504.2,99.29,2.61
2019,5,10,9,35.58,10.86,0,643.88,697.95,99.32,1.71
2019,5,10,10,39.19,9.52,0,832.81,845,99.33,0.65
2019,5,10,11,41.53,8.85,0,891.2,926.33,99.31,0.41
2019,5,10,12,42.49,8.73,0,858.89,915.05,99.25,0.57
2019,5,10,13,42.89,8.67,0,833.83,850.4,99.17,0.98
2019,5,10,14,42.82,8.85,0,719.2,718.83,99.1,1.64
2019,5,10,15,42.22,9.16,0,545.54,541.73,99.03,2.21
2019,5,10,16,41.23,10.01,0,341.32,334.05,98.99,2.85
2019,5,10,17,38.89,12.15,0,149.88,145.35,98.98,4.65
2019,5,10,18,33.97,15.62,0,16.86,12.77,99.02,7.87
2019,5,10,19,32.31,16.42,0,0,0,99.09,9.48
2019,5,10,20,31.13,18.37,0,0,0,99.18,9.33
2019,5,10,21,30.01,19.23,0,0,0,99.25,9.01
2019,5,10,22,29.24,19.17,0,0,0,99.27,8.62
2019,5,10,23,28.52,18.86,0,0,0,99.25,8.05
2019,5,11,0,27.69,18.43,0,0,0,99.21,7.46
2019,5,11,1,26.87,18.01,0,0,0,99.19,7.2
2019,5,11,2,26.17,17.82,0,0,0,99.18,7.08
2019,5,11,3,25.6,17.82,0,0,0,99.21,6.65
2019,5,11,4,25.17,17.94,0,0,0,99.24,6.17
2019,5,11,5,24.82,18.01,0,7.5,5.1,99.3,5.54
2019,5,11,6,25.97,18.13,0,96.45,100.17,99.4,4.34
2019,5,11,7,27.99,18.43,0,267.27,296.15,99.48,2.88
2019,5,11,8,31.46,18.49,0,482.05,508.58,99.55,2.4
2019,5,11,9,34.87,16.97,0,694.73,697.1,99.58,1.73
2019,5,11,10,38.52,13.73,0,837.2,846.85,99.57,0.49
2019,5,11,11,40.55,12.33,0,890.66,926.83,99.52,0.68
2019,5,11,12,41.52,11.9,0,866.4,901.2,99.44,1.32
2019,5,11,13,41.95,11.84,0,822.99,835.7,99.35,1.83
2019,5,11,14,41.83,11.96,0,699.73,709.3,99.25,2.39
2019,5,11,15,41.14,12.33,0,520.34,529.4,99.18,2.97
2019,5,11,16,39.95,13,0,319.8,322.15,99.14,3.81
2019,5,11,17,37.83,14.95,0,133.85,130.8,99.16,5.44
2019,5,11,18,34.26,17.33,0,16.66,12.77,99.2,7.57
2019,5,11,19,32.54,18.01,0,0,0,99.29,8.68
2019,5,11,20,31.46,18.68,0,0,0,99.36,8.53
2019,5,11,21,30.61,18.98,0,0,0,99.39,8
2019,5,11,22,29.9,19.29,0,0,0,99.4,7.08
2019,5,11,23,29.33,19.59,0,0,0,99.37,6.16
2019,5,12,0,28.87,19.9,0,0,0,99.33,5.25
2019,5,12,1,28.46,20.14,0,0,0,99.28,4.5
2019,5,12,2,28.04,20.26,0,0,0,99.24,4.01
2019,5,12,3,27.72,20.26,0,0,0,99.24,3.85
2019,5,12,4,27.51,20.14,0,0,0,99.28,3.96
2019,5,12,5,27.39,20.02,0,7.68,4.92,99.34,4.3
2019,5,12,6,28.29,19.47,0,86.79,90.8,99.43,4.31
2019,5,12,7,29.82,18.68,0,236.09,265.05,99.51,4.41
2019,5,12,8,32.3,16.3,0,405.94,470.4,99.58,5.6
2019,5,12,9,34.94,13.85,0.01,556.93,657.67,99.6,6.06
2019,5,12,10,37.03,12.45,0,748.82,799.67,99.58,5.21
2019,5,12,11,38.48,11.9,0,775.98,878.85,99.53,3.82
2019,5,12,12,39.42,11.72,0,683.92,830.7,99.44,2.38
2019,5,12,13,40.01,11.6,0,532.66,770.27,99.34,1.21
2019,5,12,14,40.33,11.66,0,459.13,647,99.25,1.11
2019,5,12,15,40.14,11.78,0,372.08,475.62,99.16,1.93
2019,5,12,16,39.39,12.08,0,226.02,282.67,99.11,3.05
2019,5,12,17,37.52,13.98,0,116.93,113.5,99.08,4.96
2019,5,12,18,33.87,16.48,0.01,15.63,11.48,99.11,7.38
2019,5,12,19,32.11,17.21,0.02,0,0,99.18,8.76
2019,5,12,20,30.94,18.74,0.04,0,0,99.24,8.78
2019,5,12,21,29.92,19.78,0.05,0,0,99.28,8.23
2019,5,12,22,29.29,20.02,0.04,0,0,99.29,7.82
2019,5,12,23,28.86,19.96,0.05,0,0,99.26,7.52
2019,5,13,0,28.54,19.78,0.03,0,0,99.21,7.28
2019,5,13,1,28.37,19.59,0.03,0,0,99.19,7.03
2019,5,13,2,28.13,19.47,0.02,0,0,99.16,6.62
2019,5,13,3,27.8,19.41,0.01,0,0,99.16,6.1
2019,5,13,4,27.47,19.47,0.01,0,0,99.18,5.69
2019,5,13,5,27.16,19.47,0,6.6,4.7,99.25,5.45
2019,5,13,6,27.82,19.47,0.01,83.81,84.38,99.33,4.67
2019,5,13,7,29.81,19.17,0.01,225.38,248.45,99.4,3.68
2019,5,13,8,33.03,18.01,0.01,446.82,448.62,99.43,2.85
2019,5,13,9,36.88,15.32,0,619.68,635.15,99.45,2.06
2019,5,13,10,39.19,13.55,0,752.22,778.3,99.43,0.92
2019,5,13,11,40.44,12.63,0,808.64,858.67,99.38,0.06
2019,5,13,12,41.3,12.21,0,757.43,795.6,99.29,0.73
2019,5,13,13,41.73,12.02,0,725.1,740.85,99.18,1.33
2019,5,13,14,41.72,12.08,0,609.8,618.98,99.09,1.9
2019,5,13,15,41.24,12.21,0,453.77,454.33,99.02,2.42
2019,5,13,16,40.3,12.45,0.01,275.73,270.45,98.98,3.06
2019,5,13,17,38.32,14.04,0.01,129.63,125.85,98.98,4.43
2019,5,13,18,35.12,16.91,0.04,16.19,11.92,99.01,6.28
2019,5,13,19,33.06,17.82,0.07,0,0,99.1,7.48
2019,5,13,20,31.78,18.43,0.13,0,0,99.2,7.7
2019,5,13,21,30.72,18.74,0.13,0,0,99.26,7.77
2019,5,13,22,29.88,18.98,0.19,0,0,99.28,7.76
2019,5,13,23,29.05,19.29,0.28,0,0,99.25,7.75
2019,5,14,0,28.32,19.35,0.38,0,0,99.2,7.97
2019,5,14,1,27.62,19.29,0.4,0,0,99.14,7.83
2019,5,14,2,27.03,19.04,0.47,0,0,99.11,7.49
2019,5,14,3,26.68,18.86,0.41,0,0,99.1,6.65
2019,5,14,4,26.35,18.86,0.4,0,0,99.16,5.84
2019,5,14,5,26.03,18.98,0.45,8.41,5.58,99.22,5.17
2019,5,14,6,27.15,18.86,0.55,107.73,102.42,99.31,4.06
2019,5,14,7,29.27,18.8,0.52,285.3,295.12,99.38,4.04
2019,5,14,8,32.21,18.25,0.45,499.49,512.77,99.44,4.32
2019,5,14,9,35.62,15.99,0.22,699.08,701.17,99.48,4.45
2019,5,14,10,37.98,13.49,0.07,796.76,850.73,99.47,4.32
2019,5,14,11,39.39,11.6,0.04,898.16,935.7,99.4,4.39
2019,5,14,12,40.15,10.56,0.05,801.43,846.02,99.31,4.16
2019,5,14,13,40.48,10.07,0.07,636.91,788.05,99.21,3.59
2019,5,14,14,40.44,9.83,0.11,650.33,658.17,99.11,2.81
2019,5,14,15,39.94,9.7,0.1,384.9,495.12,99.05,1.89
2019,5,14,16,39.12,9.89,0.07,184.13,306.83,99.01,0.8
2019,5,14,17,37.69,11.23,0.12,85.73,123.02,99.03,1.31
2019,5,14,18,34.11,16.17,0.17,13.95,12.92,99.08,3.89
2019,5,14,19,31.59,16.97,0.32,0,0,99.16,6.48
2019,5,14,20,30.24,18.01,0.6,0,0,99.24,7.57
2019,5,14,21,29.03,19.59,0.79,0,0,99.3,7.63
2019,5,14,22,28.14,20.57,1.05,0,0,99.31,7.47
2019,5,14,23,27.55,20.81,1.01,0,0,99.29,7.31
2019,5,15,0,27.12,20.75,0.88,0,0,99.25,7.29
2019,5,15,1,26.85,20.39,0.71,0,0,99.22,7.61
2019,5,15,2,26.62,19.71,0.43,0,0,99.21,7.97
2019,5,15,3,26.34,18.8,0.23,0,0,99.22,8.04
2019,5,15,4,26.03,18.13,0.14,0,0,99.26,7.75
2019,5,15,5,25.8,17.82,0.06,8.28,5.65,99.32,7.38
2019,5,15,6,26.69,17.64,0.05,102.09,99.73,99.42,6.32
2019,5,15,7,28.74,17.64,0.08,290.12,287.52,99.49,4.99
2019,5,15,8,32.63,16.3,0.06,497.14,494.2,99.54,5.36
2019,5,15,9,36.27,14.1,0.01,681.31,695.8,99.56,5.75
2019,5,15,10,38.36,13.24,0,728,840.58,99.55,4.98
2019,5,15,11,39.7,12.82,0,783.09,921.45,99.49,4.23
2019,5,15,12,40.5,12.51,0,809.19,858.15,99.39,3.77
2019,5,15,13,40.78,12.33,0.01,759.74,800.02,99.29,3.62
2019,5,15,14,40.93,12.27,0.01,667.57,674.65,99.2,3.7
2019,5,15,15,40.52,12.27,0.01,489.91,499.33,99.13,3.43
2019,5,15,16,39.54,12.27,0.02,277.05,299.08,99.11,2.93
2019,5,15,17,37.95,13.49,0.06,119.72,121.92,99.12,3.18
2019,5,15,18,34.39,17.4,0.22,7.06,13.02,99.19,5
2019,5,15,19,31.77,17.7,0.31,0,0,99.28,7.02
2019,5,15,20,30.27,18.37,0.44,0,0,99.38,7.69
2019,5,15,21,29.01,19.29,0.59,0,0,99.46,7.63
2019,5,15,22,28.34,19.78,0.89,0,0,99.48,7.37
2019,5,15,23,27.94,20.08,0.51,0,0,99.46,6.84
2019,5,16,0,27.61,20.2,0.29,0,0,99.41,6.08
2019,5,16,1,27.24,20.14,0.13,0,0,99.36,5.51
2019,5,16,2,26.85,20.02,0.1,0,0,99.33,5.21
2019,5,16,3,26.42,19.78,0.09,0,0,99.32,5.21
2019,5,16,4,26.01,19.41,0.06,0,0,99.33,5.23
2019,5,16,5,25.63,19.17,0.03,9.16,6.42,99.37,5.15
2019,5,16,6,26.42,19.04,0.05,116.19,112.3,99.45,4.53
2019,5,16,7,28.51,18.92,0.15,318.92,310.67,99.53,3.63
2019,5,16,8,32.4,16.66,0.04,529.77,526.45,99.56,3.78
2019,5,16,9,35.65,13.98,0,716.76,718.25,99.58,3.32
2019,5,16,10,37.65,12.39,0,850.75,861.55,99.58,3.06
2019,5,16,11,38.73,11.72,0,895.28,939.4,99.53,2.93
2019,5,16,12,39.71,11.41,0,913.55,961.25,99.45,2.87
2019,5,16,13,40.4,11.17,0,857.59,896.33,99.36,2.77
2019,5,16,14,40.55,11.05,0,758.33,766.62,99.28,2.58
2019,5,16,15,40.17,10.99,0,588.27,585.1,99.22,1.99
2019,5,16,16,39.4,11.05,0,377.16,371.33,99.2,1.13
2019,5,16,17,38.23,12.21,0,161.02,156.98,99.21,0.51
2019,5,16,18,34.91,16.78,0,20.61,16.3,99.25,2.97
2019,5,16,19,32.19,15.93,0,0,0,99.29,6.46
2019,5,16,20,31.16,15.56,0,0,0,99.34,8.22
2019,5,16,21,30.06,17.09,0,0,0,99.39,7.99
2019,5,16,22,29.21,18.13,0,0,0,99.41,7.35
2019,5,16,23,28.75,18.25,0,0,0,99.37,6.98
2019,5,17,0,28.36,17.94,0,0,0,99.33,6.76
2019,5,17,1,27.96,17.82,0,0,0,99.28,6.55
2019,5,17,2,27.51,17.88,0,0,0,99.25,6.13
2019,5,17,3,27.02,18.07,0,0,0,99.25,5.5
2019,5,17,4,26.51,18.31,0,0,0,99.27,4.95
2019,5,17,5,25.98,18.55,0,9.2,6.67,99.3,4.63
2019,5,17,6,26.8,18.55,0,113.38,112.42,99.39,3.92
2019,5,17,7,28.87,18.62,0,311.19,308.95,99.47,3.29
2019,5,17,8,32.34,17.33,0,512.98,511.23,99.52,4.14
2019,5,17,9,36.01,14.95,0,707.3,710.8,99.54,4.78
